,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
58,109,10781.315548323839,[0.16015585 0.17004899 0.17133853 0.16541303 0.16620326 0.16684035],13025.905601917828,[-0.23045317  0.13122732  0.55949404  0.6354216   0.03589416 -0.13158395],[ 0.00643069  0.01227691  0.02484374  0.01559247  0.00127264 -0.00882993]
59,110,10632.332698804608,[0.16518356 0.16976768 0.16966872 0.16535731 0.16887348 0.16114925],13037.930144515456,[-0.22505702  0.17001469  0.56122926  0.59157429  0.0276032  -0.12536441],[ 0.00747914  0.01522143  0.03365935  0.01657665  0.00095365 -0.01592469]
60,111,10766.963830032284,[0.16120531 0.16792752 0.16602125 0.16520453 0.16760601 0.17203538],13132.548123828761,[-0.17044842  0.23786511  0.56210268  0.51212401  0.02791005 -0.16955343],[ 0.00736052  0.01748245  0.03939077  0.01583526  0.00060365 -0.02683318]
61,112,10797.01825260395,[0.16933435 0.16851682 0.16295226 0.16766975 0.1629572  0.16856962],13009.34308620607,[-0.17531796  0.26873267  0.55637087  0.49619792  0.02762629 -0.17360979],[ 0.00639524  0.01950101  0.04221948  0.01491345  0.00103437 -0.02544765]
62,113,10890.641387053345,[0.16212851 0.16408102 0.16612609 0.1672196  0.16808081 0.17236396],13046.11020524127,[-0.17155101  0.28471003  0.56218167  0.47723848  0.02802517 -0.18060434],[ 0.00611948  0.02113178  0.04141095  0.01407069  0.00049213 -0.02083234]
63,114,10889.818519263023,[0.1685743  0.1680733  0.16263342 0.16573358 0.16602858 0.16895683],12803.522681622597,[-0.17680231  0.30574569  0.56667901  0.4624859   0.02844684 -0.18655514],[ 0.00510444  0.02199123  0.03958816  0.0134245   0.00072511 -0.01104701]
64,115,10742.92789508553,[0.16744037 0.170766   0.16045262 0.17016132 0.1701003  0.1610794 ],12619.945771586696,[-0.17778606  0.32876198  0.55683434  0.47261655 -0.0325639  -0.14786291],[ 0.00454983  0.02255002  0.03625779  0.01221138  0.00069534 -0.00248589]
65,116,10571.142498124802,[0.17030219 0.16605539 0.16567021 0.16549655 0.17104757 0.1614281 ],12299.663671497072,[-0.18343578  0.37257739  0.55995109  0.47387519 -0.07835584 -0.14461205],[ 0.00367586  0.02290197  0.03159225  0.01110331  0.00090658 -0.00238305]
66,117,10467.656635115527,[0.1679109  0.1598566  0.17496406 0.15974981 0.16740263 0.17011601],12033.69509403298,[-0.1870556   0.37582811  0.59498596  0.44826593 -0.07966021 -0.15236419],[ 0.00305956  0.02253267  0.02725019  0.00884621  0.0014315  -0.00796312]
67,118,10428.246068327286,[0.16309041 0.16534884 0.16398103 0.16448274 0.16769711 0.17539986],11716.305722385903,[-0.16029096  0.38156764  0.59564316  0.41857129 -0.08202535 -0.15346578],[ 0.00238848  0.02109183  0.02448531  0.00453289  0.00155631 -0.00970345]
68,119,10398.494056565365,[0.16505688 0.16465128 0.16504817 0.17029768 0.16807203 0.16687396],11646.187353954478,[-0.15925839  0.41565861  0.59177494  0.35784272 -0.08298567 -0.1230322 ],"[ 8.75834068e-04  1.94689753e-02  2.13856292e-02 -9.37846501e-05
  1.68939126e-03 -4.06372450e-03]"
69,120,10445.261989524093,[0.16990044 0.15824878 0.1700916  0.16426182 0.16618954 0.17130782],11450.075896236645,[-0.16588043  0.44357108  0.61707473  0.29000219 -0.08454834 -0.10021922],"[-8.56085865e-04  1.76123722e-02  1.81267390e-02 -3.32972111e-03
  1.95337499e-03 -2.02706453e-05]"
70,121,10631.842705599776,[0.16347904 0.16178737 0.17635812 0.17221349 0.16426089 0.16190109],12021.34589797682,[-0.15776187  0.41749632  0.63132087  0.16968435 -0.05766707 -0.00307261],[-0.00142468  0.01499414  0.01548785 -0.00655021  0.00215132  0.00679744]
71,122,10499.694031647803,[0.17501478 0.17037316 0.17680919 0.15155752 0.16825668 0.15798868],12161.453592606505,[-0.1617446   0.41668403  0.64795983  0.12312185 -0.05683989  0.03081878],[-0.0019285   0.01220521  0.01480622 -0.00626427  0.00235748  0.0093669 ]
72,123,10317.969140881341,[0.17106573 0.1601841  0.16943214 0.16075763 0.17099854 0.16756185],11871.439525648606,[-0.12413912  0.40325561  0.63407034 -0.04186424  0.09747809  0.03119931],[-0.00093077  0.00962338  0.01520014 -0.01163867  0.00231418  0.00236265]
73,124,10184.468282654416,[0.16702883 0.16509881 0.17012117 0.16473569 0.16929998 0.16371552],11895.393433343914,[ 0.11110228  0.31506622  0.61688097 -0.36570492  0.33506407 -0.01240861],[ 0.00019585  0.00588672  0.01501825 -0.01883035  0.0025345  -0.00373129]
74,125,9768.614887943544,[0.17377691 0.16111991 0.16986157 0.15893655 0.17369925 0.16260581],12149.662761396161,[ 0.25428883  0.21296648  0.51399053 -0.51790179  0.61912367 -0.08246771],[ 0.00067718  0.0016661   0.01463909 -0.0259617   0.00272648 -0.01124397]
75,126,9597.37441203311,[0.16824555 0.16100754 0.16793264 0.17047827 0.17053208 0.16180391],12016.413849537861,[ 0.36680035  0.15336333  0.42154521 -0.70789038  0.90954366 -0.14336216],[ 0.00104161 -0.00445922  0.01321372 -0.0368095   0.00276535 -0.02371489]
76,127,9233.320912524981,[0.17156198 0.16949333 0.16025291 0.1573329  0.1669451  0.17441377],11932.882674389726,[ 0.39387557  0.09406389  0.31458638 -0.64746694  1.01632894 -0.17138784],[ 0.00100779 -0.01211426  0.01129087 -0.04447624  0.00291351 -0.03725891]
77,128,9362.348417037261,[0.16600809 0.16935572 0.16208109 0.1682361  0.16413358 0.17018542],11661.737968879863,[ 0.45379294  0.07181833  0.27981743 -0.73972568  1.11590333 -0.18160635],[ 0.00060085 -0.02021835  0.00687709 -0.05620252  0.00144072 -0.04302106]
78,129,9339.069290259464,[0.16729926 0.16407958 0.16441381 0.16748697 0.16829195 0.16842843],11674.576974173504,[ 0.49390815  0.00516679  0.23271174 -0.74745919  1.12283479 -0.10716229],[ 0.00060958 -0.02595001  0.00195008 -0.06152134  0.00013748 -0.03772995]
79,130,9111.804588369938,[0.16627245 0.1734488  0.13961228 0.17712804 0.17599721 0.16754121],11121.925997182114,[ 0.56371659 -0.06911539  0.17390146 -0.83583823  1.21438365 -0.04704807],[ 0.00064156 -0.03108922 -0.00347115 -0.06263839 -0.00065234 -0.02981946]
80,131,9175.059683959316,[0.16678427 0.16261718 0.16807902 0.16985154 0.1662598  0.16640819],11015.732990047789,[ 0.5736641  -0.08185811  0.04732652 -0.81189788  1.27582897 -0.0030636 ],"[-3.26813326e-04 -3.38745709e-02 -1.65714230e-02 -5.79266973e-02
 -5.50169222e-05 -2.42972914e-02]"
81,132,9188.43259456495,[0.16408295 0.16197537 0.18483404 0.16110146 0.16661093 0.16139525],11119.874517359767,[ 0.56032359 -0.13669713 -0.08559418 -0.71564599  1.33793898  0.03967473],[-0.00083614 -0.03624904 -0.02954426 -0.05058306  0.00058608 -0.01724377]
82,133,9300.71692185407,[0.16172449 0.16094266 0.16692364 0.17473939 0.1640573  0.17161251],10525.476112416245,[ 0.5815375  -0.19970272 -0.12835022 -0.79262624  1.46410815  0.07503353],[-0.001754   -0.03870647 -0.03335628 -0.04568649  0.00109901 -0.01416505]
83,134,9236.702168464144,[0.16646355 0.1699047  0.16619354 0.16311046 0.16750436 0.1668234 ],10584.653250997893,[ 0.49053674 -0.29159981 -0.17645953 -0.58691536  1.453362    0.11107596],[-0.00312121 -0.04096494 -0.03413836 -0.03672533  0.00131139 -0.00497932]
84,135,9001.213444652978,[0.16930067 0.16254355 0.17142281 0.15423884 0.16973418 0.17275996],11171.880913207708,[ 0.45348777 -0.31695666 -0.19213983 -0.46650468  1.3666182   0.1554952 ],[-0.00447779 -0.04144526 -0.03437614 -0.03016312  0.00135157  0.0015688 ]
85,136,9059.593014642835,[0.16411457 0.16289891 0.16813454 0.16683072 0.16620201 0.17181925],11290.442264397732,[ 0.44479402 -0.4180914  -0.1930726  -0.46513417  1.35746832  0.27403582],[-0.00587462 -0.04322028 -0.03350464 -0.02925232  0.00101999  0.00766234]
86,137,9064.236836069247,[0.16801482 0.17345089 0.16884542 0.17232304 0.16138584 0.15598   ],10242.322872077588,[ 0.49151071 -0.50853823 -0.21573752 -0.50689915  1.44980932  0.28985488],[-0.00722492 -0.04450767 -0.03120248 -0.02663439  0.00086298  0.01605269]
87,138,8838.763556265296,[0.174124   0.1777982  0.14352809 0.16985119 0.16642034 0.16827819],10054.466632828797,[ 0.4304349  -0.53642044 -0.17717999 -0.29446088  1.28760345  0.29002296],[-0.00782906 -0.04301914 -0.02817093 -0.02117853 -0.00058113  0.01264245]
88,139,8741.893756631782,[0.16846051 0.16883766 0.16338821 0.16471902 0.17188415 0.16271046],10313.019115966763,[ 0.41960996 -0.52410083 -0.18571856 -0.24247855  1.25960913  0.27307885],[-0.00738646 -0.03936338 -0.03336983 -0.01583622 -0.00281644  0.00814155]
89,140,8947.052675694822,[0.15682203 0.17486983 0.15926836 0.16860707 0.17063698 0.16979573],10495.575267491278,[ 0.39709831 -0.55306337 -0.26842703 -0.15245809  1.29704226  0.27980793],[-0.0068405  -0.03555109 -0.03837814 -0.01174035 -0.00377671  0.00093862]
90,141,8977.680796813363,[0.16181404 0.16185104 0.16754534 0.16169236 0.16792279 0.17917442],10855.384215091677,[ 0.33070172 -0.44100918 -0.34336772 -0.07335445  1.2680467   0.25898293],[-0.00766258 -0.02905814 -0.0426955  -0.00551322 -0.00247121  0.00087155]
91,142,9064.535829262553,[0.16753378 0.17285632 0.17386297 0.15716118 0.16789722 0.16068854],10591.391066367263,[ 0.28129978 -0.45361936 -0.42981067  0.02159051  1.32210881  0.25843093],[-0.00912331 -0.02409122 -0.04472877 -0.00154134 -0.00094446  0.00981702]
92,143,9105.229093297668,[0.16710003 0.15785657 0.16428498 0.16398188 0.16639552 0.18038101],11098.232741752006,[ 0.17248474 -0.32034437 -0.40619835  0.02036676  1.2655285   0.26816272],[-0.00950237 -0.01781203 -0.04252925 -0.00088039  0.00095934  0.01178716]
93,144,9053.185998236973,[0.16786788 0.16956201 0.16677928 0.16774286 0.16888252 0.15916544],11025.685414282721,[ 0.17389602 -0.32622485 -0.42970196  0.02051813  1.283595    0.27791767],[-0.00926071 -0.01380213 -0.04008636 -0.0005852   0.00253492  0.02163231]
94,145,8927.455539864417,[0.17069758 0.17291008 0.16215419 0.17574298 0.16993208 0.14856309],10874.995745354006,[ 0.15990339 -0.30800979 -0.43214359  0.02163229  1.30854929  0.2500684 ],"[-8.73528176e-03 -9.65236529e-03 -3.71743663e-02  7.99985410e-05
  4.00888211e-03  2.05121566e-02]"
95,146,8923.65541705112,[0.17001316 0.16980332 0.16541573 0.16225599 0.16567488 0.16683692],10788.085962999943,[ 0.14084056 -0.22624294 -0.50208965  0.05218623  1.31098041  0.22432539],[-0.00765888 -0.00510675 -0.03554277  0.00299904  0.0052796   0.00496686]
96,147,8846.947744651834,[0.16324115 0.18017045 0.1583374  0.17093593 0.16786808 0.15944698],10990.764547888513,[ 0.13424703 -0.05956689 -0.52019951  0.07650262  1.31621299  0.05280376],[-0.00578747 -0.00050242 -0.03333563  0.00393148  0.00588713 -0.0069829 ]
97,148,8653.13755092494,[0.16717619 0.16922597 0.16911917 0.17285746 0.17259903 0.14902219],11381.803267420466,[ 0.11165495  0.15154338 -0.49864724  0.07495405  1.28764212 -0.12714725],[-0.00521926  0.00576979 -0.03310253  0.00560197  0.00613937 -0.02201315]
