,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky
78,182,17294.94558910247,[0.16847947 0.16094316 0.1664141  0.16829023 0.16774843 0.16812461],6899.318248178686,[ 0.81855405  0.10673956 -0.13367185  0.88349404 -1.33776182  0.66264601]
79,183,17101.91742790773,[0.17331625 0.1759284  0.1670516  0.16972025 0.16759766 0.14638584],7104.606968812831,[-0.10248058  0.36233584  0.12487906  1.27770758 -0.51127269 -0.1511692 ]
80,184,17124.367692703545,[0.16492646 0.16454042 0.1617536  0.16857772 0.16427017 0.17593163],7222.419304985442,[ 0.02848906  0.60729896 -0.22280384  0.06868516 -0.05180444  0.5701351 ]
81,185,17176.628285357016,[0.16022667 0.17079852 0.16490201 0.16248989 0.16291159 0.17867132],7631.876143911819,[ 0.54161301  0.82560258 -0.19395585 -0.70542682 -0.04807215  0.58023923]
82,186,16302.004389368598,[0.17525571 0.17535583 0.17749918 0.16458768 0.17410945 0.13319215],6587.338387486938,[-0.2426361   0.71828123 -0.16102357  0.82449593 -0.41269276  0.27357528]
83,187,16172.021739873351,[0.16803124 0.16866291 0.16579036 0.16322917 0.17475348 0.15953284],6560.670777277406,[-0.12146058 -0.18511907  0.3153239   1.0241727   0.5027824  -0.53569934]
84,188,16353.402306386886,[0.16673111 0.1661294  0.18228308 0.16645919 0.16346493 0.15493229],6207.425034535818,[ 0.27376092  0.83282888 -0.52103447 -0.12590811  0.70080632 -0.16045354]
85,189,16589.664207690876,[0.16494125 0.16772854 0.16919741 0.16705363 0.16498663 0.16609255],6119.408518728019,[ 0.43720631 -0.33498005 -0.35150452  0.77727857  0.71399881 -0.24199912]
86,190,16616.530370805915,[0.16788802 0.16295701 0.16289182 0.17169701 0.16822016 0.16634598],5863.303458214446,[ 0.11684377  0.34911934  0.03466769 -1.09708896  1.77244683 -0.17598867]
87,191,16760.971708354256,[0.16246009 0.16897717 0.1615167  0.16891507 0.16467476 0.1734562 ],5726.487901522252,[ 1.22917369  0.05883526  0.24948704  0.6599375  -1.58904072  0.39160724]
88,192,17118.73742220963,[0.16493554 0.16034135 0.16572562 0.16965641 0.16175958 0.17758149],5642.309586812321,[ 0.66622801 -0.44721163  0.44428185  0.36241443  0.30528131 -0.33099397]
89,193,17141.33761250171,[0.16782558 0.17200617 0.17732673 0.16788368 0.15880373 0.15615412],5219.878026677441,[-0.39605223 -0.52909754  0.20940726  0.30508529  1.85957268 -0.44891546]
90,194,17778.71577154297,[0.15654852 0.16581099 0.1638771  0.16466689 0.16272218 0.18637432],4897.70761818511,[-0.41129724  0.20206634  0.15275898 -0.01733264  1.80323409 -0.72942952]
91,195,17770.061350570257,[0.16874193 0.16265206 0.16500859 0.17072939 0.16856078 0.16430726],4895.323485153584,[0.16874193 0.16265206 0.16500859 0.17072939 0.16856078 0.16430726]
92,196,17615.96311803015,[0.17129355 0.17637442 0.17482395 0.16617452 0.16642413 0.14490942],4776.753374592391,[-0.31034409  0.09087796  0.32658533  1.05137454 -0.25731268  0.09881895]
93,197,18590.586212857157,[0.1628513  0.1586818  0.190868   0.1550074  0.15506644 0.17752508],4205.687546988394,[ 0.87516495  0.41162249 -0.59573607  0.75610873 -0.14427678 -0.30288332]
94,198,18431.27479424403,[0.16697743 0.16939691 0.15925429 0.16685969 0.16798418 0.1695275 ],4224.909940651242,[ 1.20448174 -0.19182302 -0.40131332 -0.06915451 -0.14356546  0.60137458]
95,199,19203.8791721898,[0.1666137  0.18347504 0.15497396 0.15743472 0.15801564 0.17948695],5273.920992317064,[ 0.70432156  1.00641632 -0.31148941 -0.25305782 -0.44530252  0.29911187]
96,200,19106.93369813484,[0.1689626  0.16923368 0.17125547 0.16861912 0.16418162 0.15774752],5226.996439857743,[ 0.2331893  -0.45811288  0.2402059   0.69002093  0.68043929 -0.38574254]
97,201,19209.751382464925,[0.16119941 0.16082311 0.1603905  0.1737401  0.17325009 0.17059679],5052.849959104798,[ 0.39502575  0.22724147  0.31875301 -0.59284622  1.06251758 -0.41069158]
98,202,20288.052917929297,[0.15987545 0.1603864  0.17059834 0.16902404 0.15936397 0.18075181],4846.425906922371,[ 0.44165108  0.35861531 -0.44642143  0.90312457  0.27308307 -0.5300526 ]
99,203,19997.3005579288,[0.166053   0.16479546 0.15934237 0.16737613 0.16885607 0.17357697],4694.0048391947275,[ 0.85192535 -0.21165661  0.17010328  0.77394859 -1.21419322  0.62987261]
100,204,20374.609875419643,[0.16548185 0.17107479 0.15989085 0.16096272 0.16306951 0.17952028],4248.464637273161,[ 0.02651521 -0.41353634  0.4824547   0.12502858  1.24172398 -0.46218614]
101,205,21319.51205483747,[0.16165561 0.16370627 0.16061935 0.17076242 0.15807914 0.1851772 ],4843.532942527525,[ 0.90623336 -0.18237877 -0.08016081  0.25633398 -0.72486719  0.82483943]
102,206,21180.12808954597,[0.16433009 0.16830929 0.1878359  0.16474867 0.16465014 0.15012591],4330.607871251394,[ 1.3561494  -0.20468988 -0.19100818  0.28160613 -0.90127195  0.65921449]
103,207,21523.17367511568,[0.16213024 0.16919399 0.14792014 0.17910507 0.15985997 0.1817906 ],3929.4406133967573,[ 1.8899258  -0.23277008  0.0682538  -1.21995938 -0.04195817  0.53650803]
104,208,21655.215678158278,[0.16316335 0.1603386  0.16773418 0.15966491 0.16523294 0.18386603],4208.155085280081,[ 0.55481282 -0.43454325 -0.0306655  -0.17817053  0.38319076  0.7053757 ]
