,day,benchmark_wealth,bench_risky,portfolio_wealth,port_risky,pred_km
42,146,10578.153637304556,[0.1649982  0.17227736 0.16394517 0.16262945 0.16700379 0.16914602],8202.540758567997,[ 0.0829308  -0.66945935  0.19947042  0.11785383  0.82355335  0.44565096],[0.00125804 0.00154413 0.00930039 0.00732206 0.00206738 0.00574817]
43,147,10411.09632599062,[0.17024657 0.16509565 0.16668159 0.16833115 0.17124951 0.15839553],8159.423049775823,[ 0.08382192 -0.63045813  0.19739199  0.11778001  0.83730649  0.39415771],[0.00154768 0.005004   0.0090685  0.00672546 0.00199182 0.00449436]
44,148,10291.161470915924,[0.16850132 0.16156066 0.17479802 0.16209245 0.16730683 0.16574071],8289.346885344832,[ 0.08246356 -0.59469324  0.20144996  0.11146422  0.81789822  0.38141728],[0.00185326 0.00756134 0.00793592 0.00525553 0.0019841  0.00154029]
45,149,10225.39233053769,[0.1638999  0.16525826 0.16615205 0.16235182 0.16899947 0.17333849],8074.17596870136,[ 0.08273242 -0.15349331  0.88215499  0.11077141  0.24539415 -0.16755965],[ 0.00213812  0.00894432  0.01971857  0.00925615  0.00190922 -0.00178047]
46,150,10241.586924561398,[0.16463933 0.16258045 0.16363883 0.1660161  0.16916563 0.17395965],7889.734636085261,[ 0.08377658 -0.02952119  0.8878603   0.11310746  0.15973051 -0.21495367],[ 0.00219784  0.00971664  0.01668173  0.00702102  0.00187581 -0.00383438]
47,151,10140.103816059509,[0.16948777 0.16171751 0.17037492 0.16976754 0.16755278 0.16109948],8051.117892071594,[ 0.08266773  0.00271075  0.87165766  0.11179464  0.13278014 -0.20161092],[ 0.00237897  0.0099603   0.01714283  0.0062987   0.00194503 -0.00421491]
48,152,10387.271844579098,[0.164503   0.16268365 0.17429139 0.16675502 0.16190184 0.16986511],8489.713392686099,[ 0.07927369  0.03558646  0.88560718  0.10867237  0.12531531 -0.23445502],[ 0.00221466  0.00950941  0.01663496  0.00534115  0.00195916 -0.00590613]
49,153,10269.052049302205,[0.17401443 0.16923589 0.17616437 0.15456621 0.16844639 0.15757271],8898.621099344451,[ 0.07807503  0.04575309  0.87072564  0.09506738  0.11947131 -0.20909245],[ 0.00233285  0.009143    0.01638182  0.00478823  0.00192522 -0.00585963]
50,154,10181.760875065094,[0.16937513 0.16046822 0.16961297 0.16118022 0.16920285 0.1701606 ],8846.479093500757,[ 0.07914984  0.14100254  0.85323855  0.09171313  0.12099281 -0.28609687],[ 0.00265573  0.00883038  0.00829148  0.00329283  0.00187556 -0.00787457]
51,155,9823.699870008506,[0.17410154 0.16332421 0.17502769 0.15403291 0.1727724  0.16074124],8960.801806642061,[ 0.0787645   0.14825909  0.83560173  0.08074635  0.11948457 -0.26285623],[ 0.00303339  0.00810402  0.01576704  0.00142951  0.00185872 -0.00926157]
52,156,9657.748146508275,[0.16475216 0.16037745 0.16658981 0.16863042 0.17126054 0.16838963],8743.316922448004,[ 0.07846563  0.18315566  0.84171599  0.08233351  0.1237334  -0.30940418],[ 0.00339245  0.00677428  0.00900006  0.00066     0.00183123 -0.01240824]
